,train_acc,val_acc,train_f1,val_f1,runtime
Dummy Classifier,,0.6416256157635468,,0.0,
Random Forest,1.0,0.6376247481332227,1.0,0.02954336864757981,66.66133308410645
Logistic Regression,0.7398392702114066,0.637007941211331,0.43039743131641883,0.0263438368646609,3.5758488178253174
CatBoost,0.8063418126412687,0.6302353917269171,0.6295034487503923,0.08504457862399792,166.57591915130615
Gradient Boosting,0.7489990376472742,0.6182268578878749,0.4611804451363433,0.09205671911258888,709.1838481426239
LightGBM,0.994689169547949,0.5954396112362215,0.9925467797550995,0.26964750204567134,14.267775774002075
Adaboost,0.712361389662217,0.5926684840583145,0.46154825097798513,0.23633077793243396,187.15412092208862
XGBoost,0.9842980408465267,0.5920578404646202,0.9776406847805434,0.25209615033337535,290.0069329738617
Gaussian,0.9853756744836721,0.5812876614910513,0.9800071367693182,0.31038493655548205,8.713051080703735
